,matchId,pos,position2,position3,position4,distance2,distance3,x_position4,y_position4
31903,2925476316,"[array([3664., 8046.]), array([3825., 6403.]), array([8037., 3508.]), array([4103., 9413.]), array([ 3418., 11230.]), array([10463.,  3025.])]",[3825. 6403.],[8037. 3508.],[4103. 9413.],622.1205670929069,728.3083138341893,4103.0,9413.0
32369,2925478336,"[array([3505., 7826.]), array([3745., 6419.]), array([7738., 3900.]), array([11340.,  3658.]), array([8232., 2590.]), array([5831., 5257.])]",[3745. 6419.],[7738. 3900.],[11340.  3658.],634.4966508973865,258.15499220429575,11340.0,3658.0
33231,2925482068,"[array([5096., 8490.]), array([3707., 6370.]), array([7829., 3615.]), array([2345., 8392.]), array([4099., 6121.]), array([8702., 4633.])]",[3707. 6370.],[7829. 3615.],[2345. 8392.],694.8014104764037,506.42472293520586,2345.0,8392.0
33459,2925483017,"[array([3528., 7758.]), array([3753., 6544.]), array([7674., 3890.]), array([9492., 3577.]), array([ 2174., 10056.]), array([4079., 4710.])]",[3753. 6544.],[7674. 3890.],[9492. 3577.],518.5990744303349,205.854317418897,9492.0,3577.0
33585,2925483438,"[array([3302., 7814.]), array([3382., 6915.]), array([7945., 3508.]), array([4279., 1095.]), array([9692., 5387.]), array([3868., 6543.])]",[3382. 6915.],[7945. 3508.],[4279. 1095.],623.8180824567368,663.3920409531606,4279.0,1095.0
33917,2925485052,"[array([3760., 8503.]), array([3624., 6508.]), array([7361., 4710.]), array([7041., 6687.]), array([6674., 6858.]), array([2797., 6746.])]",[3624. 6508.],[7361. 4710.],[7041. 6687.],619.2253224796285,723.478403271307,7041.0,6687.0
34483,2925487473,"[array([3593., 8282.]), array([3418., 6841.]), array([8051., 3519.]), array([7954., 2358.]), array([10316.,  1712.]), array([4809., 5853.])]",[3418. 6841.],[8051. 3519.],[7954. 2358.],603.3282688553554,731.4109651898856,7954.0,2358.0
36191,2925494787,"[array([3505., 8122.]), array([3620., 6595.]), array([8062., 3514.]), array([4737., 1390.]), array([8480., 2734.]), array([ 3898., 11348.])]",[3620. 6595.],[8062. 3514.],[4737. 1390.],555.3602434456395,742.9939434477242,4737.0,1390.0
37491,2925500561,"[array([3329., 7140.]), array([3439., 6695.]), array([7600., 3793.]), array([3397., 8572.]), array([3848., 6181.]), array([394., 461.])]",[3439. 6695.],[7600. 3793.],[3397. 8572.],638.549919740031,229.88910370002316,3397.0,8572.0
39184,2925507728,"[array([3887., 9399.]), array([3281., 7022.]), array([7637., 3870.]), array([7832., 2331.]), array([4322., 6109.]), array([6966., 5340.])]",[3281. 7022.],[7637. 3870.],[7832. 2331.],719.3364998385665,188.86238376129853,7832.0,2331.0
39750,2925510307,"[array([3824., 8106.]), array([3789., 6637.]), array([7801., 4142.]), array([4865., 6141.]), array([ 3198., 10824.]), array([3948., 6316.])]",[3789. 6637.],[7801. 4142.],[4865. 6141.],419.86902719776793,332.8137617346975,4865.0,6141.0
40492,2925513854,"[array([1253., 1894.]), array([3504., 6686.]), array([7575., 4722.]), array([8273., 2496.]), array([8478., 6167.]), array([3668., 6523.])]",[3504. 6686.],[7575. 4722.],[8273. 2496.],587.0366257738949,725.8849771141431,8273.0,2496.0
43132,2925525753,"[array([ 6945., 11415.]), array([4258., 7321.]), array([7764., 4022.]), array([8283., 2622.]), array([6929., 8024.]), array([2112., 8450.])]",[4258. 7321.],[7764. 4022.],[8283. 2622.],411.83127613137884,264.9150807334305,8283.0,2622.0
43228,2925526252,"[array([3395., 7830.]), array([3677., 6504.]), array([7801., 3698.]), array([10752.,  2315.]), array([ 1187., 10948.]), array([4508., 5964.])]",[3677. 6504.],[7801. 3698.],[10752.  2315.],591.8994847100308,426.38597537911585,10752.0,2315.0
