,pos,win
221,"[[6487,4845],[3018,7741],[3057,12780]]",1
222,"[[8140,2378],[2454,8373],[4756,9595]]",0
223,"[[7191,5214],[6577,8657]]",0
224,"[[6965,5061],[3615,8949]]",0
225,"[[4219,5957],[7045,5107],[2956,1776]]",0
226,"[[8111,2139],[4682,8390]]",0
227,"[[3710,9081]]",1
228,"[[8456,2478],[1179,931]]",0
229,"[[6765,5001],[4324,9574],[4923,8337]]",0
230,"[[6170,5036]]",0
231,"[[2826,8164],[6108,9961]]",0
232,"[[7024,4803],[3581,9034]]",0
233,"[[7662,3747],[5183,8761]]",0
234,"[[3734,6345],[4567,11787]]",0
235,"[[3578,8555],[6920,4988],[6626,3159]]",1
236,"[[6960,5389],[12830,2938]]",1
237,"[[10960,5334],[11493,4690]]",1
238,"[[11491,3692]]",0
239,"[[7145,8114]]",1
240,"[[8085,2240],[3240,7233],[4841,11752]]",1
241,"[[9017,2461],[11165,6704],[11455,6214]]",1
242,"[[10159,2603]]",1
243,"[[4492,9477],[7330,9797]]",0
244,"[[8236,7192]]",0
245,"[[11690,3817]]",0
246,"[[7303,4921],[2824,6758]]",0
247,"[[6918,7965]]",0
248,"[[8607,2483],[11067,4308]]",1
249,"[[6568,8236]]",0
250,"[[8020,2152],[8783,5773]]",0
251,"[[3716,8237],[2307,9004],[4132,9312]]",1
252,"[[8085,3465],[3433,7062],[6470,12328]]",1
253,"[[4912,1622]]",0
254,"[[5083,9237]]",0
255,"[[7165,5055],[8420,2459],[5097,8713]]",1
256,"[[7675,5181],[12691,6575],[2813,6847]]",1
257,"[[4723,9395],[6030,9472]]",1
258,"[[2699,8329],[7003,4874],[7218,3755]]",0
259,"[[3850,6109],[3484,10001]]",0
260,"[[3259,8417],[6226,12261],[3034,11788]]",0
261,"[[4392,5989]]",0
262,"[[8716,2337],[7206,11887]]",1
263,"[[3840,6458],[8154,2017]]",0
264,"[[8200,2606],[11060,7094],[3719,6452]]",1
265,"[[6690,6341]]",0
266,"[[8114,5317]]",1
267,"[[3461,8521],[6168,1214]]",1
268,"[[8897,5556]]",0
269,"[[6461,4858],[7909,8028]]",1
270,"[[7220,8109]]",0
271,"[[8044,5234]]",0
272,"[[8430,2534],[5595,8912]]",0
273,"[[8557,2278],[10911,5039],[3128,6922],[5381,12482]]",1
274,"[[7212,5074],[4664,5937]]",1
275,"[[8507,2665],[4976,9024]]",1
276,"[[3646,6309],[1250,12495]]",1
277,"[[5201,9154]]",1
